country,United States,*Know how to sort the data by column 
,,
Row Labels,Count of genre,Average of duration
Action,245,108.4285714
Anime Features,1,42
Anime Series,11,1.363636364
British TV,9,1.666666667
Children,290,79.44137931
Classic,16,6.375
Classic Movies,42,103.8809524
Comedies,328,96.57621951
Crime TV,112,2.517857143
Cult Movies,9,97.88888889
Documentaries,397,81.37279597
Docuseries,118,1.491525424
Dramas,377,104.9655172
Horror Movies,111,92.11711712
Independent Movies,13,98
International TV,18,2
Kids,163,2.190184049
Music,10,85
Reality TV,80,1.4875
Romantic Movies,2,83
Romantic TV,26,3.038461538
Sci-Fi,6,109.8333333
Spanish-Language,2,1
Stand-Up,238,58.78571429
Thrillers,40,97.775
TV Action,33,3.242424242
TV Comedies,100,3
TV Dramas,52,2.788461538
TV Horror,9,2.888888889
TV Shows,3,1
Uncategorized,22,45.31818182
Grand Total,2883,66.69441554